Accession,"Abundances (Scaled): F16: Sample, 1","Abundances (Scaled): F17: Sample, 2","Abundances (Scaled): F18: Sample, 3","Abundances (Scaled): F28: Sample, 13","Abundances (Scaled): F29: Sample, 14","Abundances (Scaled): F30: Sample, 15","Abundance: F16: Sample, 1","Abundance: F17: Sample, 2","Abundance: F18: Sample, 3","Abundance: F28: Sample, 13","Abundance: F29: Sample, 14","Abundance: F30: Sample, 15"
AO090003000935,5.4,4.3,7.4,81.0,35.7,77.8,95978581.9870605,94165720.871582,129734429.947754,1888527193.22461,1011601533.03125,1584488445.70898
AO090023000944,242.7,250.1,258.5,42.9,72.6,45.7,237826599.914063,301617668.84375,250421859.734375,55147912.421875,113405944.695313,51285231.9296875
AO090003001591,231.8,214.1,244.3,62.8,84.6,60.1,9888853248.43848,11238871252.0469,10305177996.6836,3511918693.13477,5755309196.85547,2932829614.38867
AO090005001300,96.3,38.4,17.0,89.7,111.3,82.3,72042761.7236328,35320769.2558594,12570478.4018555,87936450.3984375,132825246.152344,70463643.2207031
AO090010000746,98.6,105.3,113.0,260.9,284.5,247.8,236714817.819336,310798894.894531,268195773.179688,820683634.429688,1088922821.70703,680744449.320313
AO090026000003,1.4,0.8,0.3,505.8,427.4,477.1,2416513.90185547,1555881.3984375,523758.720703125,1116246171.07813,1147486653.27344,919555804.5625
AO090023000837,7.5,13.5,3.9,324.3,397.2,321.4,2485291.98046875,5503704.03515625,1278580.14550781,141105090.554688,210245889.238281,122105255.648438
AO090005001090,83.4,99.3,56.3,22.8,25.9,21.5,198134957.771484,290290059.30957,132221002.395508,70865596.6582031,98170295.5214844,58577060.9765625
AO090003001036,13.3,5.8,10.0,0.6,0.4,0.3,101723986.98291,54830570.2553711,75946662.0004883,5622145.74609375,4504870.5,3027622.53808594
AO090003000346,32.1,24.7,22.1,23.9,33.7,23.9,34919488.9145508,32998172.0341797,23741534.6782227,34044639.4707031,58387863.3105469,29799270.3759766
AO090012000995,43.1,39.6,19.7,237.2,363.4,257.0,12452493.9238281,14070669.6074219,5623224.52832031,89822350.4296875,167444791.296875,85001590.1796875
AO090023000645,59.5,125.8,29.4,116.6,120.7,120.8,10221811.4560547,26576959.1328125,4986035.04785156,26244879.8359375,33056572.4980469,23744548.53125
AO090003000055,0.7,3.1,0.8,308.1,381.1,366.6,105004.937011719,550594.69140625,111910.290527344,58584502.1757813,88187406.9296875,60876594.8203125
AO090001000635,119.4,117.0,106.4,85.0,105.7,87.0,68220278.3300781,82210387.1210938,60107670.96875,63624604.6679688,96252144.2617188,56889714.7148438
AO090001000406,38.7,67.9,42.7,45.6,61.6,44.3,18551567.1904297,40074946.7421875,20252520.8828125,28664582.1113281,47121801.0058594,24322644.5546875
AO090102000092,16.2,27.0,15.5,160.6,106.7,160.4,16315169.8544922,33512212.4462891,15510088.9609375,212501201.203125,171845663.761719,185309799.457031
AO090038000279,31.7,82.9,38.3,13.7,51.8,12.3,75975418.0283203,244991378.21875,90875965.9589844,43077433.8164063,198380951.332031,33711669.546875
AO090011000659,15.9,34.4,5.6,255.7,226.9,240.8,2657787.0,7054068.40917969,921813.370117188,55937492.578125,60385863.9609375,45991154.234375
AO090166000084,32.6,64.4,56.8,1.3,1.9,1.5,19999648.9023438,48572296.28125,34461757.1132813,1076973.3828125,1856068.42285156,1056974.82617188
AO090005000189,56.4,62.5,62.8,36.6,34.0,35.1,19665309.1337891,26814687.8417969,21637655.0859375,16723112.7148438,18877988.5332031,14017214.4375
AO090009000219,27.0,53.7,27.2,99.3,81.8,101.0,4640682.60400391,11336464.5566406,4607463.34472656,22335775.6640625,22392363.8164063,19841453.9589844
AO090023000804,0.6,0.7,1.1,599.9,197.3,521.6,495665.08203125,789185.749755859,957228.8515625,703111049.769531,281340321.03125,533896395.710938
AO090011000046,114.2,164.1,60.4,43.0,73.1,45.0,1100289681.875,1944986817.4043,575718193.708008,543544041.871094,1123231215.70703,495871090.792969
AO090020000521,17.0,4.5,3.2,82.5,101.4,90.8,23848944.6464844,7857976.41699219,4487001.01660156,151973569.273438,227213508.546875,146079396.0625
AO090011000119,29.2,39.6,47.0,158.7,93.4,170.2,69028334.8320313,115183159.194336,109772619.791992,491444529.855469,351973454.394531,460461446.074219
AO090038000287,25.4,20.9,13.0,313.0,500.8,335.4,6822028.18554688,6897644.1796875,3441235.2109375,110040512.640625,214216503.40625,102967829.253906
AO090009000144,24.0,37.6,24.7,17.6,16.7,16.7,38624457.9140625,74599054.402832,39414370.0498047,37209432.2529297,42880745.015625,30917334.7597656
AO090011000235,10.1,33.3,22.3,22.1,21.4,20.5,5774505.63085938,23285509.8339844,12533029.6171875,16489397.6953125,19417041.4101563,13356646.1855469
AO090103000076,0.9,0.5,0.7,574.8,244.3,599.6,1814397.87890625,1294905.14648438,1379976.79101563,1485643837.19531,768370744.523438,1353229822.125
AO090020000207,40.0,32.5,34.6,12.8,16.5,11.7,11068327.7939453,11075178.1298828,9481905.24804688,4641616.43359375,7265728.9453125,3722452.31054688
AO090003000354,13.5,4.9,7.2,336.8,153.8,382.6,2790223.9375,1241642.42871094,1479209.11816406,91512628.5527344,50846638.7148438,90780110.3359375
AO090701001051,18.3,27.8,40.2,161.7,94.2,164.2,71959763.7634277,134456015.178711,156399128.100098,833672668.605469,590777800.507813,739243027.542969
AO090023000428,20.8,22.5,13.0,259.2,411.0,273.8,1803141.42089844,2396564.43896484,1109237.79882813,29430579.4140625,56777876.71875,27146809.3125
AO090005001044,67.9,47.1,45.3,36.0,36.1,36.6,59967394.6347656,51133972.4335938,39539279.5019531,41642294.71875,50833096.5078125,37042289.1679688
AO090009000471,23.3,26.2,33.4,20.9,22.0,19.0,8433790.93554688,11689952.8066406,11960078.1640625,9950884.61132813,12694683.8007813,7882833.48144531
AO090005000438,8.7,25.7,10.7,271.5,357.0,276.5,1286363.02246094,4692867.89746094,1569272.66015625,52846518.875,84520906.328125,46984835.234375
AO090003001047,7.8,5.1,3.1,244.2,593.3,259.3,1098295.85351563,887687.562011719,435767.095703125,45258430.671875,133753938.8125,41959163.1328125
AO090701000644,14.8,18.4,14.5,184.6,562.8,218.8,2272424.32128906,3474344.81933594,2194005.69335938,37117488.9921875,137695018.59375,38417732.6953125
AO090005000064,58.4,81.8,42.3,6.3,17.6,6.4,16746694.2578125,28860367.8828125,11997520.1054688,2380957.55078125,8066149.234375,2087857.48242188
AO090023000680,34.7,41.1,32.0,71.6,65.0,74.0,9089749.01953125,13269025.2792969,8281296.70214844,24607795.3398438,27195807.2929688,22214800.5546875
AO090020000710,0.2,0.3,0.2,655.9,167.6,672.2,20007.9951171875,44838.640625,24120.68359375,90104393.5,28020136.796875,80634115.25
AO090102000564,21.8,40.6,34.9,27.6,47.5,26.9,13587229.1289063,31079724.8325195,21485006.7167969,22487440.5664063,47136789.0195313,19138275.3964844
AO090003000476,104.1,98.4,94.5,9.8,17.0,8.4,33506662.4140625,38969585.0859375,30075416.8710938,4121067.76757813,8754630.45703125,3107522.37597656
AO090023000905,91.6,108.8,81.9,32.9,48.8,30.9,170822198.085938,249883812.757813,151181592.230469,80532891.3554688,145177247.628906,66055174.2832031
AO090038000395,0.1,1.9,1.5,368.5,272.1,332.4,11001.142578125,176158.985351563,112589.370117188,36400286.0234375,32695558.328125,28670452.2539063
AO090003000831,36.2,30.3,22.8,106.6,90.6,101.3,6695815.6796875,6882966.609375,4159611.91601563,25834756.9453125,26710402.265625,21431729.9375
AO090005001671,17.8,34.6,10.6,240.4,297.7,239.3,1867995.35791016,4466517.70849609,1093806.57617188,33025454.6328125,49770196.640625,28710331.59375
AO090012000708,10.4,9.7,11.4,145.2,49.9,157.3,14469973.1982422,16724174.0917969,15752882.0742188,265624434.75,111035842.71875,251285358.0625
AO090005000409,65.7,66.3,108.0,91.9,175.6,95.7,48104288.6953125,59665709.9057617,78175491.0380859,88141764.2441406,204933282.226563,80165843.4863281
AO090102000620,25.3,13.8,13.9,130.0,318.8,157.9,4870936.93261719,3276766.6875,2641382.71386719,32800214.9375,97872792.90625,34795494.15625
AO090003001171,10.9,18.1,6.4,178.0,282.6,181.7,1282384.12207031,2617160.29394531,747706.604980469,27426104.2890625,52972796.5625,24448960.5703125
AO090120000257,27.2,7.9,12.5,339.2,270.4,369.4,2355156.48925781,837149.34765625,1068550.27539063,38521087.8125,37368099.375,36641668.34375
AO090003000321,368.9,222.5,289.3,35.1,31.2,32.3,48736028.609375,36174782.6484375,37791943.171875,6073231.53808594,6566612.06054688,4882718.62695313
AO090003000888,8.4,37.3,10.7,98.2,143.5,103.6,897774.294921875,4923484.41796875,1133089.13867188,13808938.1914063,24563324.3886719,12725443.1328125
AO090010000644,2.2,0.8,0.3,490.2,479.1,463.7,295304.647460938,137767.170898438,35269.30078125,86847537.0,103273464.546875,71739347.46875
AO090009000117,31.8,35.3,29.8,23.3,33.9,23.4,42342524.1416016,57855771.0390625,39251013.2749023,40673603.2304688,71999314.9716797,35731798.8427734
AO090005001556,4.7,12.5,11.4,333.0,258.8,325.9,358273.59765625,1160353.28759766,851104.038085938,33015433.5234375,31220575.4726563,28221288.578125
AO090009000568,18.2,40.5,15.1,85.9,112.0,92.7,1854006.45898438,5066270.7890625,1513142.95898438,11447960.3046875,18154922.9296875,10785927.6523438
AO090120000215,1.9,0.5,1.2,269.1,728.1,329.4,145799.720214844,50622.365234375,86250.26953125,26660720.9824219,87751925.8125,28495408.6328125
AO090011000357,69.1,138.8,70.1,113.4,260.0,130.7,5333150.70507813,13185097.890625,5348717.99414063,11476728.9140625,32001506.46875,11546828.5
AO090120000454,35.6,21.0,30.7,0.2,0.2,0.0,18065340.3984375,13090582.2617188,15375239.7890625,127563.45703125,145102.1875,26519.294921875
AO090012000926,40.9,74.3,21.5,95.5,99.1,94.8,5667308.2578125,12679788.1601563,2946346.34082031,17358893.671875,21918833.171875,15051591.171875
AO090038000337,32.6,31.9,49.1,12.9,6.2,9.8,2856541.00488281,3439712.52929688,4252651.14648438,1476864.8984375,865546.38671875,984016.34375
AO090103000153,46.9,72.9,42.1,66.9,136.2,68.1,4509646.40039063,8613970.91015625,3999843.36328125,8424782.92578125,20870849.1015625,7488766.703125
AO090003001062,81.3,47.7,23.2,40.3,58.4,38.2,17215502.2226563,12428404.5273438,4851132.02734375,11177965.9101563,19725172.953125,9249332.62890625
AO090003001045,8.1,23.5,6.3,237.9,348.0,247.7,505022.265625,1807555.86523438,391068.597167969,19505269.4609375,34711378.84375,17736846.5703125
AO090011000052,29.0,11.9,14.9,1.9,1.4,2.9,3678656.43945313,1852795.61132813,1863610.05615234,321964.150390625,287537.342773438,422143.14453125
AO090701000071,105.6,95.1,107.3,21.7,42.4,27.4,14741196.7890625,16345792.6328125,14818861.4921875,3965687.95703125,9438841.21875,4371890.9765625
AO090001000733,1.3,2.8,2.2,327.7,408.2,376.4,77444.19140625,197903.25390625,123781.330078125,24987353.0898438,37869015.09375,25065063.4023438
AO090701000013,1.7,13.2,5.0,308.3,249.0,306.9,97676.8779296875,933409.411132813,283211.341796875,23207432.65625,22803771.375,20171757.4375
AO090701000246,100.0,60.4,54.5,198.5,155.7,192.8,22793158.34375,16925886.7109375,12267082.3867188,59274426.640625,56575870.546875,50296916.8046875
AO090102000117,22.1,24.4,19.2,124.4,266.9,150.0,1226244.19726563,1666566.23828125,1053913.85742188,9054598.3359375,23636727.265625,9536484.203125
AO090005001484,83.4,29.2,38.7,219.8,330.1,203.8,9035816.52734375,3898240.35253906,4145821.71679688,31233290.0,57067635.5,25290114.984375
AO090020000650,72.2,133.2,46.8,75.5,117.3,72.7,6209421.35546875,14090817.1640625,3982951.06054688,8508497.140625,16081669.109375,7154344.35546875
AO090010000729,1.5,9.5,4.7,290.3,367.7,308.8,63838.712890625,492901.212890625,194660.375,16044598.4921875,24731880.296875,14907574.234375
AO090120000493,1.3,3.0,0.8,333.4,676.0,388.8,79102.80859375,226508.861328125,48931.0991210938,26990734.9492188,66597298.765625,27490396.875
AO090005001509,23.3,28.9,50.5,134.2,333.7,147.1,4383958.0859375,6703467.80273438,9412782.10205078,33134750.0585938,100262027.65625,31726728.203125
AO090701000749,14.0,32.9,13.9,141.4,223.3,139.9,1240823.66210938,3588007.93164063,1221869.83740234,16446131.75,31609589.1875,14214824.40625
AO090701001053,144.0,210.1,117.7,59.4,81.7,80.3,12086200.390625,21702191.1367188,9766869.765625,6531178.453125,10943089.9746094,7717178.02734375
AO090120000112,3.1,4.9,3.6,385.9,440.1,376.9,445246.453125,849074.127929688,510326.67578125,71894406.734375,99757721.90625,61324902.5625
AO090003001498,25.0,50.5,28.2,2.0,6.2,1.8,2828535.32519531,7033419.04296875,3154202.14941406,301455.645019531,1127943.52636719,238648.4375
AO090010000482,0.6,2.0,1.0,357.4,542.0,389.2,17036.59375,65461.45703125,27802.7709960938,12698474.0820313,23426917.296875,12075475.5664063
AO090701000167,7.4,7.0,3.3,278.1,631.7,302.6,447955.690917969,525701.491210938,196594.0078125,22112090.296875,61117056.21875,21010688.390625
AO090020000520,44.4,33.8,8.2,225.9,184.6,232.1,3828223.19140625,3588963.9375,701245.426757813,25547989.390625,25398316.671875,22920603.671875
AO090701000389,50.9,78.1,32.9,91.9,160.6,90.7,4103402.890625,7745780.09375,2618489.28710938,9706242.296875,20642112.65625,8367979.5859375
AO090023000209,33.7,42.9,20.7,36.8,44.9,36.5,3686757.9296875,5764589.52539063,2241615.45703125,5266778.859375,7817558.23242188,4565205.92578125
AO090102000558,6.6,5.3,3.5,284.8,209.4,246.7,753772.384765625,746992.810546875,397952.291503906,42775071.53125,38266030.53125,32363715.59375
AO090038000417,28.0,14.0,15.8,268.3,650.7,265.1,453082.965332031,277387.837402344,252914.271728516,5683697.51953125,16769151.328125,4903209.28710938
AO090026000662,31.0,41.7,9.8,129.4,108.5,119.9,6302383.56054688,10433285.4492188,1976551.71289063,34456910.9765625,35138370.7265625,27873781.75
AO090026000708,7.1,9.0,2.6,285.0,587.1,330.1,590141.438476563,919231.643554688,210251.109375,30913926.6679688,77472425.03125,31262167.7890625
AO090001000617,82.7,70.4,93.3,3.4,6.4,4.1,7466555.375,7815976.5390625,8331244.09375,404964.525390625,917536.484375,419614.765625
AO090003001507,20.1,11.9,5.7,273.9,179.5,314.8,1902641.40625,1390078.5703125,532526.020507813,33948067.5,27074086.890625,34067753.578125
AO090020000517,37.6,33.5,27.5,49.8,66.0,56.6,4397716.046875,4823738.0234375,3179270.71582031,7628293.125,12295452.7597656,7570006.359375
AO090103000007,,,,329.9,479.0,366.4,,,,9321591.953125,16466131.765625,9040470.46875
AO090012000590,122.5,105.3,106.4,63.1,140.1,68.2,11814735.828125,12496178.1953125,10149716.8515625,7981904.328125,21547857.78125,7526961.875
AO090103000216,9.2,10.7,9.5,417.2,523.8,327.3,456327.170410156,650960.568359375,461952.357421875,26998372.140625,41244671.2265625,18496558.359375
AO090005000789,2.3,4.2,,346.7,474.6,356.5,42984.330078125,95774.7177734375,,8429513.453125,14040238.9375,7568818.421875
AO090009000457,105.7,100.8,112.6,98.8,134.3,116.8,9402586.15625,11031054.9921875,9902165.04443359,11517267.1484375,19059879.796875,11891681.6640625
AO090003001484,68.5,81.9,38.4,116.4,186.1,119.8,21548213.28125,31712925.09375,11938119.0488281,48010861.375,93426001.4375,43157960.28125
AO090005001347,11.2,22.1,22.3,22.4,20.0,37.4,487424.275390625,1185234.33398438,963088.94140625,1280768.33984375,1394933.140625,1866714.92578125
AO090003000746,26.6,70.3,11.8,144.6,99.2,138.2,1118457.98632813,3630291.19726563,491003.209960938,7960292.8828125,6640500.7421875,6640902.203125
AO090113000063,20.8,5.2,3.0,73.0,917.4,91.5,460755.568359375,142079.494628906,66634.3110351563,2118720.4765625,32413031.8125,2321318.6640625
AO090038000420,35.9,23.4,46.3,1.9,0.6,0.4,5551774.078125,4453111.5703125,7088260.515625,395562.177734375,155220.966796875,65750.763671875
AO090003000680,28.4,31.4,16.0,17.1,25.7,17.8,2481135.3671875,3368495.12890625,1382664.60742188,1957781.0703125,3581644.0,1776812.45703125
AO090003000053,46.2,33.0,29.2,118.4,199.9,122.7,6345064.4375,5566716.24804688,3969132.3671875,21312685.625,43780784.0625,19283320.5625
AO090023000241,4.7,3.2,,261.0,411.7,316.8,214948.546875,178338.3203125,,15599723.3125,29937187.75,16535778.1875
AO090026000516,44.9,35.5,49.0,192.7,359.7,187.9,3094239.48730469,3008437.7265625,3338449.83984375,17397408.5078125,39519010.984375,14817007.78125
AO090003000140,42.6,23.1,7.0,34.8,55.9,36.2,2507125.5234375,1670411.3125,405349.625,2683093.8046875,5245373.2265625,2438674.58203125
AO090701000220,71.6,121.6,42.9,25.5,66.5,28.7,5517038.0078125,11525643.1054688,3265465.96289063,2576929.20703125,8169946.7890625,2535610.7421875
AO090009000493,26.3,33.0,17.8,140.7,139.7,130.7,1405905.20019531,2170319.08544922,939182.39453125,9868676.45507813,11918090.140625,8006558.85351563
AO090038000258,26.9,12.6,12.8,169.6,116.1,197.7,3253016.15234375,1882532.3671875,1537835.26953125,26914402.71875,22411565.828125,27399795.8671875
AO090011000638,42.6,33.5,23.5,137.0,402.6,162.0,10839773.9960938,10483891.8203125,5919130.83789063,45673734.640625,163256718.984375,47147384.0390625
AO090009000634,0.2,1.1,,334.8,373.7,339.2,3742.13745117188,32558.5463867188,,10529349.609375,14299064.0078125,9315164.3125
AO090003000257,,1.0,,398.9,577.8,414.0,,26397.4584960938,,11453085.9296875,20183821.171875,10379908.2382813
AO090206000073,4.6,10.5,4.5,393.3,300.0,401.7,154033.549316406,429535.541015625,146433.9453125,17091720.78125,15860475.25,15243817.46875
AO090023000918,105.6,168.9,72.8,56.0,138.9,64.3,26314834.796875,51796915.2109375,17951223.6123047,18292171.9453125,55209013.7578125,18344226.296875
AO090003001227,43.5,13.1,7.3,308.5,491.9,316.7,2935823.42871094,1088046.15234375,484897.831054688,27299206.5058594,52960542.859375,24476567.125
AO090102000627,22.7,59.0,25.9,103.9,373.2,112.8,811842.452148438,2592564.41015625,914868.0,4865300.0078125,21255477.96875,4610101.48828125
AO090005000617,1.3,8.7,1.9,272.4,481.6,309.3,43270.58203125,362933.4375,63716.2578125,12117832.609375,26068393.6875,12015878.8125
AO090701000089,9.1,0.8,3.1,236.6,832.5,310.1,182912.859375,20079.7265625,62437.7470703125,6263704.09375,26820643.3125,7170753.90625
AO090701001162,4.1,13.0,17.4,375.5,292.7,331.4,171170.388671875,667886.260742188,717027.640625,20544932.0625,19482877.8125,15836516.25
AO090026000766,46.2,77.7,52.6,99.8,137.2,94.5,2697631.76953125,5575816.26953125,3032279.24414063,7631019.0234375,12762156.484375,6310194.265625
AO090120000335,23.9,40.6,13.2,156.5,306.8,184.9,2353054.76269531,4919355.8125,1281288.79492188,20188039.359375,48143308.96875,20824553.65625
AO090701000540,14.1,18.6,9.3,16.9,16.8,23.5,1528366.09765625,2483971.796875,1004578.84375,2413009.47265625,2912637.5703125,2928700.9375
AO090023000474,55.7,82.5,57.9,34.4,42.9,36.6,7385334.04101563,13455252.1640625,7590947.875,5980740.43359375,9061594.953125,5552018.078125
AO090012000372,135.2,202.5,89.6,99.8,232.8,104.3,8535700.6328125,15738218.03125,5596825.5546875,8261928.71875,23447994.03125,7537820.98828125
AO090102000089,4.4,7.8,6.9,12.5,22.4,16.8,436719.125488281,954516.138671875,681590.877929688,1635513.20800781,3556345.0859375,1907228.21484375
AO090003000938,21.4,12.3,13.1,180.9,326.4,202.5,1316929.625,930930.0,797355.296875,14576817.78125,31999937.21875,14247848.6015625
AO090023000923,2.8,12.0,2.7,196.9,119.3,192.4,72542.9184570313,387016.924316406,70165.037109375,6740100.53125,4969302.84375,5753006.546875
AO090038000471,0.8,,,405.4,649.4,424.6,9716.515625,,,6209741.859375,12102954.125,5679646.4375
AO090038000562,19.9,22.4,14.1,192.1,394.4,209.3,612844.5,849568.926757813,431092.948242188,7770442.59375,19407846.921875,7391160.4765625
AO090009000579,141.6,177.5,141.4,85.0,123.9,86.9,11730387.625,18095804.59375,11583383.5429688,9236866.3828125,16370909.65625,8238371.4375
AO090701000525,42.0,89.0,20.3,155.5,298.1,172.6,2350955.8828125,6124367.61523438,1121392.03320313,11398016.2421875,26584672.921875,11045410.8125
AO090023000264,12.2,15.4,1.5,248.7,520.6,255.6,227319.915039063,353273.58984375,26945.841796875,6065218.8671875,15445513.671875,5443019.609375
AO090012000998,15.5,25.8,5.7,377.6,311.6,354.4,339972.381835938,697252.940429688,122678.643554688,10852616.65625,10897779.546875,8896343.484375
AO090005000588,1.8,4.8,2.1,118.5,124.3,116.1,38580.44921875,125928.685546875,45144.908203125,3305961.9921875,4219520.515625,2827787.0625
AO090012000725,,2.2,,572.9,251.3,575.9,,29803.515625,,8392479.5,4479283.3671875,7366590.109375
AO090011000202,,0.6,0.8,291.4,568.0,311.7,,21320.8071289063,22641.927734375,11079427.2890625,26276200.5,10348625.7109375
AO090005000457,15.8,27.9,24.0,186.0,208.0,169.8,371118.4296875,805796.745117188,558140.234375,5733717.015625,7800909.7265625,4569558.6328125
AO090120000058,50.6,120.4,73.9,1.0,5.0,2.6,1501931.37597656,4401060.75976563,2171529.47949219,39067.20703125,237452.61328125,88299.33203125
AO090020000162,75.3,111.9,70.1,204.7,261.1,194.0,2499508.828125,4570868.171875,2300841.15039063,8902205.328125,13819657.90625,7368775.46875
AO090005000897,31.9,27.4,20.9,127.4,84.3,140.1,18459779.1953125,19482263.25,11917504.0566406,96537443.1875,77695843.546875,92640051.671875
AO090011000626,,0.8,,414.1,300.1,454.7,,110135.4375,,59513363.671875,52463691.765625,57065583.234375
AO090009000553,177.0,158.0,166.3,68.6,112.0,75.0,93258234.984375,102479380.6875,86630033.59375,47390347.125,94138633.25,45262295.5
AO090010000480,,1.6,0.7,349.8,503.4,399.7,,34856.26171875,12562.0498046875,8282114.09375,14500634.8125,8264098.0
AO090011000808,53.9,54.2,57.5,322.2,214.6,303.9,2821956.86230469,3493397.58789063,2977628.99609375,22114462.25,17916279.1484375,18209787.8828125
AO090012000125,2.7,0.7,0.4,432.5,523.8,453.5,205933.446777344,64917.1005859375,31204.4423828125,42874059.0820313,63176646.125,39257730.65625
AO090120000279,46.9,89.5,51.5,75.7,65.6,70.1,2840558.51171875,6672295.984375,3083241.625,6011595.640625,6335629.234375,4859441.75
AO090026000298,50.7,66.4,44.4,67.8,102.6,74.0,5327471.0546875,8586305.8203125,4616010.421875,9349296.828125,17197346.4375,8902632.7265625
AO090011000883,3.6,3.4,1.9,355.1,512.0,373.5,104545.051757813,123730.25390625,53840.189453125,13647396.59375,23943638.875,12535557.015625
AO090020000015,1.7,,,439.2,348.2,403.4,20258.34765625,,,6687720.875,6450237.328125,5364544.265625
AO090012000482,46.8,68.6,70.3,90.1,151.5,95.6,5461465.19677734,9839221.08007813,8101455.609375,13771550.9140625,28176249.03125,12759969.25
AO090011000053,3.8,4.5,9.4,263.4,270.3,216.1,159701.4609375,233445.670898438,395836.6796875,14667997.3046875,18308713.109375,10509112.9921875
AO090003001322,0.1,2.1,0.3,340.9,489.6,405.4,20358.6640625,395509.35546875,38897.1787109375,69878937.578125,122080480.71875,72557459.4375
AO090011000414,,0.1,0.2,336.6,538.4,411.5,,7511.728515625,12204.76953125,27196163.015625,52916786.640625,29028204.421875
AO090005000639,3.7,0.5,2.2,329.7,562.4,352.1,50507.767578125,8028.74462890625,29874.58984375,5899307.3671875,12243851.1875,5502424.46875
AO090103000073,25.1,34.9,46.3,12.3,15.0,10.1,1102802.41162109,1882831.26757813,2011445.04785156,705018.52734375,1050390.328125,505603.86328125
AO090011000486,29.6,6.0,0.4,324.2,477.9,350.5,479441.8125,118788.4609375,6389.01171875,6880546.609375,12339047.5,6495231.7421875
AO090003000121,7.2,22.7,7.6,317.8,354.9,298.4,88432.5522460938,343334.266601563,92589.2900390625,5122658.01953125,6959131.265625,4200884.29882813
AO090005000871,30.8,29.9,16.2,170.8,241.6,138.1,924491.970703125,1104001.22265625,480420.173828125,6722731.2109375,11566426.9921875,4744924.859375
AO090010000704,,0.5,0.3,122.0,133.6,196.1,,37558.68359375,22175.5234375,10672090.0546875,14219228.71875,14983562.46875
AO090113000062,47.2,27.1,31.1,91.4,274.3,98.6,2545371.16015625,1798897.1015625,1661576.15234375,6465444.53125,23620337.0,6092439.6015625
