Accession,"Abundances (Scaled): F16: Sample, 1","Abundances (Scaled): F17: Sample, 2","Abundances (Scaled): F18: Sample, 3","Abundances (Scaled): F28: Sample, 13","Abundances (Scaled): F29: Sample, 14","Abundances (Scaled): F30: Sample, 15","Abundance: F16: Sample, 1","Abundance: F17: Sample, 2","Abundance: F18: Sample, 3","Abundance: F28: Sample, 13","Abundance: F29: Sample, 14","Abundance: F30: Sample, 15"
AO090020000008,35.5,48.3,24.2,94.2,305.6,94.1,720308.11328125,1206172.56640625,485954.775390625,2507778.1484375,9896013.84375,2187692.4921875
AO090012000809,1.9,5.8,,103.1,129.3,105.5,38383.802734375,143848.057617188,,2741657.16796875,4184718.96875,2450323.84375
AO090038000364,24.0,27.2,27.3,129.6,170.5,113.8,756047.9453125,1054054.6953125,849155.810546875,5350404.7734375,8560657.578125,4102108.03125
AO090001000526,2.1,,,339.7,448.2,342.3,16401.4116210938,,,3521631.53125,5653440.9375,3099292.8359375
AO090023000056,88.2,146.6,88.2,30.4,167.3,34.7,5875222.5546875,12011493.03125,5808213.0546875,2658182.578125,17776825.53125,2644395.6484375
AO090026000651,16.1,23.3,16.9,282.5,511.8,334.0,298181.642578125,530839.3984375,309122.139648438,6867073.609375,15135216.78125,7088417.03125
AO090003000457,2.0,4.1,,212.0,821.9,242.7,22843.044921875,56844.6875,,3117857.9375,14708390.0625,3117070.546875
AO090012000528,64.9,51.2,13.1,251.1,317.7,238.3,1350185.39550781,1309348.04003906,268411.551757813,6845081.453125,10538971.984375,5673159.078125
AO090011000195,3.1,1.9,4.5,112.5,39.8,138.4,550021.568359375,411033.51953125,782419.337890625,26174294.0,11271903.703125,28112217.25
AO090011000745,70.7,87.8,94.4,12.8,6.1,8.1,4150453.0625,6344329.625,5479817.921875,985766.203125,567683.7578125,547290.98828125
AO090103000136,6.2,8.5,5.6,286.2,607.4,314.9,174347.7734375,291375.10546875,155183.098632813,10510807.2734375,27140123.0,10098879.546875
AO090003000174,,,,536.5,368.1,532.5,,,,5001763.4765625,4175663.1640625,4334721.65625
AO090010000202,131.4,149.5,80.0,20.5,89.4,30.8,4104035.3515625,5747015.90625,2470524.109375,839629.65234375,4456086.296875,1103260.20898438
AO090003000661,,,0.6,192.4,457.9,189.7,,,12135.544921875,5411565.65625,15666694.71875,4658510.984375
AO090003000927,,0.9,,269.1,524.2,290.1,,18716.33203125,,6020318.046875,14268697.84375,5667523.140625
AO090026000260,,6.6,9.5,289.6,371.5,323.6,,143105.704101563,166160.0,6694867.3125,10446525.28125,6531675.390625
AO090701000295,16.4,22.6,36.3,75.3,41.4,76.1,50738916.8925781,85911470.0341797,111040273.242188,304919318.390625,204076555.699219,269059270.244141
AO090001000383,57.9,60.5,43.4,154.6,138.8,159.7,4714127.43994141,6061250.125,3493081.80664063,16504472.859375,18027715.1523438,14885694.296875
AO090012000143,1.1,11.0,6.3,5.2,,6.9,95337.4375,1171774.9375,539626.3515625,593757.515625,,689037.515625
AO090103000340,1.2,23.8,12.9,183.7,249.6,211.3,18235.310546875,453750.990234375,198295.470703125,3736433.3515625,6178247.515625,3754138.0234375
AO090023000915,55.5,68.2,76.2,39.5,36.4,43.1,7049687.0625,10660737.15625,9570623.4375,6579132.875,7370579.0625,6262366.734375
AO090011000475,16.0,13.3,10.9,108.2,339.6,111.3,456490.994140625,466915.282714844,307771.419921875,4048547.078125,15458699.25,3638064.14453125
AO090001000485,,1.9,2.6,526.9,327.2,563.6,,87074.71875,97183.71875,26113625.78125,19726045.5,24389515.09375
AO090011000051,18.9,13.9,25.7,73.4,81.9,46.3,728714.0546875,660209.017578125,980009.060546875,3713504.0234375,5045422.2421875,2047521.21875
AO090009000315,9.9,7.5,8.7,295.2,546.7,293.3,121890.59375,113357.900390625,105906.060546875,4782227.171875,10776901.09375,4149458.78125
AO090009000264,,,,396.7,437.4,384.6,,,,7472544.515625,10022466.0625,6325353.375
AO090003000607,,,,502.2,351.5,563.1,,,,16331524.75,13907138.125,15988396.8125
AO090012000110,176.4,48.5,50.4,207.6,289.2,210.6,3877404.296875,1310901.44726563,1095071.875,5982023.796875,10141551.828125,5301006.2734375
AO090003001087,29.1,36.8,7.1,127.1,762.1,165.4,237393.78125,369271.2890625,57313.91015625,1358280.11914063,9909944.71875,1544027.17675781
AO090113000132,,,0.4,519.4,426.8,541.8,,,7994.85888671875,14004312.0,13998994.96875,12757305.84375
AO090120000056,,,,,,,,,,,,
AO090113000080,11.0,12.7,10.8,369.3,504.6,373.1,476850.369140625,674491.35546875,463299.125,20975372.875,34863589.6875,18503863.875
AO090005000652,65.8,60.5,87.6,67.7,44.6,63.1,4716614.421875,5338684.9375,6211236.46875,6360260.46875,5101284.96875,5176991.83203125
AO090003000239,5.5,22.5,22.0,46.8,8.5,41.5,227742.783203125,1134746.4375,893688.619140625,2521769.0625,553758.42578125,1953578.078125
AO090020000314,144.9,122.6,28.6,185.0,163.3,159.6,2704590.328125,2815490.984375,527533.138671875,4528050.234375,4862138.359375,3411281.296875
AO090023000439,78.6,64.8,165.1,34.6,22.3,37.3,5322787.5625,5401036.046875,11049031.375,3070845.6015625,2410789.2109375,2893368.1796875
AO090020000351,,6.3,,472.6,446.4,495.1,,63982.32421875,,5118239.703125,5882328.46875,4683070.03125
AO090009000356,189.9,71.6,143.6,116.0,145.4,76.4,2797995.5625,1298490.10546875,2091973.2578125,2239405.9609375,3415632.90625,1287979.3671875
AO090011000266,35.1,41.2,38.2,16.2,26.6,24.0,5722428.8515625,8263468.4140625,6158560.63671875,3454400.78125,6907136.47265625,4481298.125
AO090003000679,105.3,65.6,82.6,104.6,224.0,100.8,927819.68359375,711815.25390625,719592.9296875,1208516.2578125,3148294.28125,1016482.0078125
AO090003000833,13.3,19.0,16.7,38.8,53.4,43.5,589116.249023438,1040108.03125,734590.5625,2260524.2578125,3784110.546875,2210748.44921875
AO090120000174,70.8,110.3,26.4,56.2,83.2,66.2,6167987.3125,11818062.71875,2276670.15625,6415701.328125,11555715.3125,6594817.78125
AO090009000313,30.0,31.1,14.2,249.6,333.4,310.8,1059725.515625,1352533.296875,494964.40234375,11565617.671875,18792628.890625,12574276.03125
AO090038000270,28.9,26.1,10.3,201.1,437.1,303.1,844425.0859375,939054.203125,297763.08984375,7695317.765625,20350872.9375,10127692.9375
AO090001000110,8.2,10.6,5.7,262.8,600.9,308.2,161184.407226563,258022.76953125,111325.607421875,6804276.98828125,18932458.875,6968544.22851563
AO090701000359,7.9,9.1,7.4,518.4,271.7,542.3,108681.583496094,152960.6484375,99646.5537109375,9302683.296875,5932708.765625,8497502.53125
AO090011000633,9.8,17.1,3.4,182.2,429.6,200.1,321626.439453125,691087.286132813,108507.83984375,7823071.234375,22440788.2841797,7503618.1875
AO090003000876,20.5,26.9,22.2,246.3,392.0,274.1,223606.5703125,360509.690429688,238953.3046875,3517160.49609375,6810313.3515625,3418631.6328125
AO090011000300,36.4,95.1,103.7,32.8,44.5,34.1,1227100.46875,3945723.7578125,3455399.34375,1447557.203125,2393494.3046875,1315147.046875
AO090120000169,,,,440.9,556.9,479.9,,,,17595422.0,27040198.78125,16722657.46875
AO090120000186,,,,239.3,838.2,311.0,,,,1896577.15625,8081191.25,2152341.046875
AO090701001230,12.2,13.4,23.4,10.6,13.2,10.6,619014.71875,834058.111328125,1170796.73925781,700976.395507813,1065501.8046875,615999.9140625
AO090003001461,60.1,8.6,52.8,6.3,5.7,6.7,952023.094726563,167305.53125,826576.6875,129742.150390625,144201.6953125,121318.4140625
AO090701000919,6.1,8.7,8.7,204.8,384.7,240.6,167972.401855469,293475.5703125,234688.41015625,7349395.5390625,16795342.875,7540991.0625
AO090012000706,512.7,410.4,363.5,3.6,4.2,4.5,3702683.140625,3647191.9296875,2595427.33203125,34026.8125,48151.744140625,37529.875
AO090005000996,,0.3,,483.1,435.8,490.6,,9168.275390625,,18657613.375,20477578.59375,16546442.875
AO090020000450,,1.2,,369.2,478.4,446.9,,33969.9736328125,,10990839.421875,17324952.3125,11614921.515625
AO090102000440,183.3,131.7,416.3,2.5,2.9,2.1,26161800.46875,23122151.3945313,58744366.1875,467912.67578125,669143.3125,347010.986328125
AO090010000586,16.7,16.1,12.8,42.7,64.2,46.5,408971.241210938,485271.13671875,310358.892578125,1373538.51171875,2511218.0234375,1305903.77734375
AO090003000415,21.9,47.1,16.8,90.5,159.7,94.3,327876.520507813,868232.099609375,248655.239746094,1778455.5703125,3817534.703125,1617466.515625
AO090038000357,6.7,10.2,5.9,230.6,384.1,239.8,126274.83984375,235736.78125,110361.17578125,5686170.625,11525061.4375,5163155.125
AO090020000514,122.2,152.5,74.7,47.1,43.6,45.0,7517146.8125,11537191.59375,4540973.3828125,3793961.75,4280566.59375,3165510.84375
AO090003000947,103.9,81.9,60.6,121.1,176.6,120.9,36391977.0390625,35310893.546875,21005654.4277344,55586777.9960938,98689193.875,48486600.4375
AO090012000613,,,,404.7,391.8,425.7,,,,9822920.53125,11572254.109375,9022937.375
AO090102000501,0.8,10.5,1.2,48.3,230.1,51.7,11256.2392578125,181277.262695313,17165.693359375,888651.70703125,5147667.4375,830246.8671875
AO090701001146,1.8,4.0,1.3,312.0,651.0,347.7,61714.83203125,173262.294921875,46444.044921875,14421941.34375,36616203.5625,14035518.625
AO090026000408,1.9,4.5,,361.4,393.3,472.0,32523.498046875,96142.2421875,,8215169.40625,10877853.78125,9369611.484375
AO090023000872,6.8,49.5,17.6,80.7,167.5,81.5,191514.541015625,1704179.58398438,486769.16796875,2959521.34179688,7479878.35546875,2611449.07226563
AO090009000060,142.1,179.5,135.9,13.5,40.0,14.7,6813784.875,10590382.03125,6442541.71875,847162.953125,3057253.3125,809331.08203125
AO090005001092,,17.8,4.4,373.2,318.9,419.9,,162191.19140625,31962.759765625,3618807.265625,3762535.125,3555215.625
AO090001000511,33.1,75.4,19.6,70.4,85.9,61.6,442877.474609375,1241948.0078125,259537.994140625,1234306.0859375,1832610.8984375,944218.774414063
AO090005000347,61.2,69.5,57.8,90.0,141.9,94.1,1390844.25,1946333.26953125,1299020.91015625,2681851.0234375,5146418.0,2451140.109375
AO090701000344,70.6,90.0,57.1,9.9,19.1,11.9,2663030.5078125,4181546.1640625,2132682.03515625,487729.971679688,1148291.90625,515927.926757813
AO090003001231,0.9,0.9,,320.5,620.9,352.3,5372.85791015625,6338.1162109375,,2419778.98046875,5702891.5,2322141.73242188
AO090011000131,36.7,53.5,39.5,45.9,79.3,50.8,1334709.09375,2395211.8359375,1420891.65625,2189475.890625,4598660.671875,2114266.53125
AO090012000526,29.4,20.6,10.0,222.6,259.9,241.5,391109.44921875,338004.688476563,131136.828125,3882751.4375,5516114.4375,3678574.765625
AO090005000253,,1.0,0.9,31.7,23.9,30.3,,30727.30078125,21412.939453125,1028490.76660156,944763.568359375,857711.333007813
AO090003000270,178.6,20.1,12.1,162.3,507.7,177.2,8238304.171875,1142068.7734375,550960.70703125,9814499.75,37347412.6875,9356719.90625
AO090003000693,9.4,1.4,1.2,392.8,511.0,374.3,197529.223144531,37359.48046875,24585.3388671875,10818870.8984375,17120317.0,9001252.9140625
AO090701001221,,1.9,,251.0,316.3,268.9,,22381.73046875,,3226715.09375,4947017.03125,3018667.484375
AO090011000362,44.2,45.9,47.0,11.6,16.4,10.4,698754.1015625,891887.578125,735074.5625,240972.14453125,413021.2734375,187746.43359375
AO090011000565,79.3,104.1,84.2,42.8,54.8,45.6,13684222.3427734,22113601.1289063,14376853.1962891,9688371.7265625,15085816.3828125,9008757.08984375
AO090023000977,133.3,142.6,55.3,34.7,76.4,46.8,2450686.71875,3226760.765625,1005663.62890625,836930.177734375,2242298.52148438,984447.109375
AO090026000254,13.1,18.0,15.0,146.1,201.4,166.3,1284843.19335938,2179110.546875,1455264.39257813,18794217.75,31512317.375,18681413.75
AO090005001065,1.2,3.4,,181.6,802.7,214.5,9239.494140625,32778.5771484375,,1886582.078125,10148909.3125,1946201.99609375
AO090003001523,26.0,30.7,15.7,72.5,121.1,98.3,399074.474609375,578275.109375,238535.89453125,1456038.390625,2958961.84375,1724944.859375
AO090701001117,,,0.8,425.8,476.6,493.2,,,11875.345703125,8651137.265625,11781646.21875,8750035.609375
AO090206000109,48.2,49.6,35.9,75.0,177.0,68.5,1370159.6953125,1733269.453125,1009024.265625,2792930.125,8019233.875,2226253.12890625
AO090026000700,23.1,15.2,9.7,367.3,398.0,372.6,238890.646484375,192996.927734375,99465.1552734375,4973388.78125,6556904.90625,4405843.0625
AO090005000231,39.8,69.8,29.2,1.8,2.3,3.9,1136017.2109375,2453385.0625,823961.189453125,67579.0234375,106325.91015625,128046.443359375
AO090001000337,1.3,1.1,,436.6,548.2,385.8,26764.40625,29078.33203125,,11988487.2265625,18312638.03125,9249020.4453125
AO090120000344,2.7,5.3,,115.2,640.8,137.9,20445.4140625,49833.5029296875,,1158758.13085938,7841255.078125,1211538.03125
AO090009000653,3.7,6.5,3.3,419.4,540.3,407.1,33271.51953125,73174.0625,29675.92578125,5002513.46875,7840931.5625,4239916.5625
AO090701000720,92.6,9.9,3.5,312.9,288.6,294.8,543461.344726563,71609.58984375,20097.1098632813,2407259.421875,2701378.859375,1980351.7890625
AO090003000729,,1.0,,286.8,274.8,273.9,,18620.0415039063,,5492102.40625,6402392.28125,4580449.84375
AO090701001249,17.9,15.3,3.9,347.5,309.5,336.9,171052.404296875,179944.385253906,37212.6928710938,4346696.0,4709815.671875,3679989.6171875
AO090120000068,,,,486.6,429.9,528.6,,,,3945450.1875,4240974.765625,3742922.375
AO090023000811,2.9,4.1,4.6,264.4,554.1,297.2,32037.9262695313,55804.3603515625,50862.54296875,3841277.59375,9794834.1875,3770711.953125
AO090701000473,39.5,80.2,29.2,137.2,233.7,144.0,1576284.7421875,3937368.015625,1151911.02734375,7172079.5,14868360.0625,6577045.3125
AO090005000582,11.7,36.6,10.8,242.9,431.3,269.1,211830.3828125,818345.98828125,194715.466796875,5782001.75390625,12490925.78125,5593750.1640625
AO090023000609,67.5,83.0,66.4,7.2,3.3,4.4,1975616.2265625,2987184.5703125,1920581.5078125,275757.23828125,155573.515625,147797.0
AO090023000891,62.2,38.2,19.6,128.4,260.6,145.2,503231.2734375,379912.453125,156567.1484375,1361854.78125,3362163.5,1344637.03125
AO090011000139,,,,540.8,418.8,507.6,,,,4842577.91796875,4562909.96875,3968987.42578125
AO090113000129,,,,299.9,461.8,344.8,,,,2331282.671875,4368339.8125,2340511.15625
AO090012000287,44.7,43.4,44.5,254.5,167.9,240.6,491012.375,586345.373046875,482856.920898438,3665160.515625,2942013.1875,3025852.03125
AO090701000725,1.6,4.6,2.6,588.0,232.3,591.0,6677.4013671875,22844.2670898438,10255.9140625,3120042.46875,1499625.18945313,2738400.8359375
AO090120000080,,1.2,3.0,394.0,396.0,381.2,,23531.15234375,47164.037109375,8182378.546875,10005631.5625,6913640.890625
AO090003001209,170.4,171.4,153.0,193.4,209.2,172.5,2558928.78125,3168571.1953125,2272519.9765625,3808130.75,5012274.0625,2966814.953125
AO090010000777,20.2,16.9,5.1,159.4,357.0,196.7,167533.771484375,172807.2265625,41936.15625,1732254.375,4719306.0,1866547.609375
AO090009000672,,9.1,,333.6,547.8,373.2,,50685.462890625,,1972625.484375,3941215.5625,1927031.7578125
AO090009000149,,,,278.9,795.7,307.1,,,,1688485.2421875,5861546.4375,1623860.6484375
AO090003000636,3.6,5.1,1.3,201.9,251.3,227.7,71408.697265625,126122.375,24973.19140625,5311091.59375,8040743.25,5228294.8125
AO090003000045,50.0,45.0,61.0,25.7,12.3,10.2,1948482.453125,2156019.921875,2349743.15625,1310555.53125,764442.78125,456755.3984375
AO090113000146,116.5,119.7,113.4,21.1,38.8,19.2,2194925.1328125,2774319.53125,2113159.4140625,521355.6171875,1167010.8828125,413466.96484375
AO090023000856,98.5,110.0,21.8,67.6,175.4,79.7,1103910.34375,1517182.5546875,242040.78515625,993316.515625,3134548.890625,1022009.19140625
AO090003000805,,,,597.3,310.4,552.7,,,,7326710.609375,4632060.78125,5920880.3125
AO090138000136,163.3,69.9,223.0,1.9,3.4,,870101.59375,458018.671875,1174564.3125,13114.6591796875,29259.7890625,
AO090001000492,123.3,157.8,90.6,21.2,61.9,25.1,1403166.3046875,2209699.3125,1019483.359375,315829.0703125,1124097.69921875,326783.6640625
AO090701000717,42.7,95.7,62.6,46.9,88.9,47.8,1936632.1953125,5342946.90625,2808731.453125,2787975.5625,6432370.125,2482193.6328125
AO090009000557,13.3,40.7,16.9,253.7,192.5,220.9,78859.591796875,296863.669921875,99018.0126953125,1973210.25,1820873.2734375,1500427.1171875
AO090120000474,229.6,400.0,64.3,20.9,68.1,22.9,2955373.03125,6334958.5625,818349.40234375,352673.71875,1398755.40625,337819.375
AO090003001320,55.9,56.8,48.4,167.4,202.3,135.6,1341653.0625,1677581.90625,1148987.015625,5267153.25,7742524.0,3725673.6875
AO090020000403,54.2,36.5,37.3,91.6,190.3,113.9,2436649.9375,2017426.78125,1660095.96875,5402710.328125,13653036.21875,5864727.78125
AO090011000430,41.8,49.5,42.9,29.9,60.9,36.0,423673.171875,618027.73828125,430368.87109375,397716.82421875,985373.6875,418179.203125
AO090026000264,,0.6,,230.5,438.6,270.1,,7961.521484375,,3431215.75,7941459.125,3510036.59375
AO090026000175,0.4,0.3,0.3,658.3,168.8,644.5,11344.0390625,11185.220703125,10245.171875,27618247.5625,8614194.6953125,23611992.265625
AO090005000169,98.7,28.5,34.7,168.7,202.3,161.0,726238.3125,257894.94140625,252706.58984375,1626367.84375,2373524.15625,1355785.4609375
AO090003000004,33.8,54.8,0.7,400.2,192.7,383.6,219150.25390625,437464.4296875,4290.86962890625,3405055.734375,1994981.21484375,2850362.53125
AO090011000679,26.3,48.2,7.9,266.7,189.8,231.1,185745.345703125,419408.4140625,55191.666015625,2469672.3125,2138246.9296875,1868715.9140625
AO090026000772,31.1,22.0,10.3,87.4,200.8,43.6,330312.169921875,288257.14453125,107990.956054688,1218229.6875,3405767.328125,530674.595703125
AO090124000044,6.0,6.4,2.8,124.4,284.2,127.3,79744.5,104153.08984375,36166.6088867188,2158609.078125,6001039.375,1929389.296875
AO090012000676,,5.5,,342.0,594.8,333.5,,18398.078125,,1227923.59375,2598526.03125,1045723.4765625
AO090701000107,,,,296.9,881.9,268.2,,,,539686.27734375,1950593.3125,425808.02734375
AO090003001406,28.0,34.1,37.6,,4.3,,225364.060546875,337267.591796875,298892.578125,,55135.896484375,
AO090005000436,,,,195.9,318.2,252.2,,,,5146491.328125,10172215.78125,5786152.390625
AO090003000923,25.8,32.0,12.2,35.7,30.4,10.8,175271.90234375,267531.036132813,81922.216796875,317601.244140625,329217.064453125,84291.27734375
AO090038000454,,,,250.1,700.0,382.0,,,,1033015.390625,3517066.96875,1377558.921875
AO090701000168,,,,325.1,589.2,336.6,,,,4796732.78125,10577485.1875,4336637.0
AO090003000725,,1.3,,394.0,329.1,444.5,,20836.3012695313,,6596767.21875,6704844.46875,6499914.4375
AO090102000639,28.2,39.2,1.5,284.8,281.9,268.3,134331.370117188,229926.01171875,7199.0625,1778676.65625,2142571.859375,1463481.671875
AO090023000476,2.6,2.9,2.9,319.5,621.1,388.5,11902.015625,16280.45703125,13047.8642578125,1883527.890625,4455173.0,2000259.390625
AO090102000438,144.9,73.0,221.0,0.4,0.8,,3365750.546875,2085080.3203125,5075091.328125,13114.6591796875,29259.7890625,
AO090012000670,,,,327.8,590.3,317.4,,,,1071722.5625,2348233.2265625,906288.13671875
AO090120000408,38.8,31.0,5.3,160.7,434.9,162.5,171715.80859375,168534.66796875,23364.13671875,931170.21875,3066617.25,822320.9375
AO090023000801,61.2,49.1,48.6,50.1,86.7,57.4,934405.20703125,923716.462402344,733956.465820313,1002605.40625,2112753.3125,1004398.96875
AO090023000900,26.1,15.3,10.2,160.3,326.4,151.3,306189.96875,220309.666015625,118637.5625,2465683.09375,6109199.46289063,2032227.92578125
AO090701001036,,,,389.4,470.3,467.8,,,,7948551.9375,11681747.0,8339442.5
AO090011000764,,,,387.7,360.6,395.9,,,,1482485.109375,1677664.9375,1322063.203125
AO090124000079,,,,197.5,449.1,253.9,,,,2708929.7265625,7494407.359375,3040888.5625
AO090001000071,81.2,47.9,83.5,1.9,1.4,2.0,1407751.51953125,1022544.3046875,1431062.1796875,42983.62890625,37916.81640625,38888.57421875
AO090102000586,106.2,107.0,64.4,145.7,170.6,114.2,821825.5859375,1019769.34375,493334.13671875,1478758.296875,2106513.59375,1011702.6484375
AO090102000494,30.0,17.8,35.3,259.3,512.5,227.0,107609.6875,78776.7578125,125335.23828125,1221055.90820313,2936566.84375,933470.421875
AO090701000305,9.2,30.6,9.5,43.4,38.7,38.1,381380.890625,1565126.0390625,389617.90625,2370120.109375,2571861.6875,1817965.671875
AO090701000065,4.5,2.3,3.4,310.3,289.5,352.2,34530.4897460938,22048.130859375,26293.6772460938,3153294.5625,3578880.546875,3125518.7421875
AO090001000449,7.3,30.7,38.3,67.2,41.0,45.6,55098.556640625,286480.703125,287514.80859375,668273.64453125,495749.0859375,395557.5703125
AO090701000951,19.0,76.0,21.3,4.2,70.3,5.0,87697.7080078125,431635.173828125,96971.091796875,25528.169921875,517353.34375,26606.609375
AO090009000495,23.7,8.9,5.2,206.6,468.0,235.5,206569.127929688,95221.0859375,44618.291015625,2362498.03125,6511515.9375,2351524.5625
AO090005000029,,,,15.2,2.5,97.9,,,,48720.3046875,9950.951171875,274709.546875
AO090102000619,,5.9,,207.6,348.7,347.4,,23670.169921875,,888278.46875,1815664.6875,1298382.5
AO090120000226,11.6,24.4,18.9,67.5,126.8,68.3,152245.546875,394074.3984375,245054.70703125,1161590.84375,2655938.375,1026798.53125
AO090005001427,133.5,84.6,4.5,102.2,131.6,107.0,735022.421875,573102.734375,24244.4990234375,737769.333984375,1155387.890625,674151.40234375
AO090012000248,39.1,,,380.5,433.6,316.5,104812.0,,,1337702.4921875,1854438.5625,971735.6875
AO090005001230,435.5,43.3,13.6,60.2,92.2,70.0,1429525.390625,174743.671875,44167.5205078125,259224.91015625,482876.22265625,262927.803710938
AO090038000595,,3.5,4.1,342.1,540.5,355.1,,17129.3125,16330.087890625,1791330.4375,3443127.28125,1623451.25
AO090026000357,79.4,62.4,56.7,43.9,47.5,48.3,1439838.8984375,1392186.2109375,1015707.1875,1042202.6640625,1373175.9375,1001145.671875
AO090102000561,,14.2,5.6,271.1,445.4,296.5,,48930.7265625,15465.9248046875,992676.1875,1984234.84375,948062.9375
AO090005001515,4.8,8.9,5.5,352.5,383.2,374.9,31847.94140625,72257.349609375,35974.6171875,3045507.375,4027707.0,2827765.3125
AO090102000358,44.3,98.5,19.9,166.6,221.1,179.8,343305.6953125,938940.28125,152419.88671875,1691883.0,2732006.296875,1594109.890625
AO090003000801,6.0,2.9,,218.3,447.1,238.5,23589.3125,13840.7744140625,,1118576.45703125,2787522.640625,1067434.20703125
AO090003001107,34.6,58.1,43.2,,26.9,,215714.4765625,446097.21875,266173.51953125,,267205.46875,
AO090005000592,,,,458.9,380.8,472.6,,,,1329569.484375,1342148.453125,1195713.5625
AO090010000203,,,8.1,297.8,480.7,351.2,,,29880.109375,1454203.515625,2856487.4375,1497973.046875
AO090023000702,,5.9,1.2,276.3,364.3,303.0,,45524.595703125,7596.96875,2272691.859375,3645288.96875,2176214.0859375
AO090102000142,23.4,27.8,17.8,266.9,281.9,289.4,115956.2578125,169388.0859375,87099.470703125,1732224.1015625,2225639.96875,1640306.390625
AO090026000299,102.6,104.8,79.2,97.1,114.6,103.5,1368182.484375,1719836.5859375,1043888.5859375,1697448.15039063,2438480.46875,1580667.6875
AO090009000205,57.0,54.1,83.7,43.1,48.3,47.2,1231052.40625,1437403.625,1788365.9375,1220931.9375,1663174.75,1167716.875
AO090003000164,16.3,19.9,7.7,186.0,226.2,195.3,100046.129882813,150607.3984375,46885.544921875,1500516.734375,2220264.859375,1375571.1875
AO090026000458,,,,400.8,324.9,476.1,,,,2527475.4375,2492868.328125,2621465.5625
AO090005000412,3.9,3.6,,168.5,364.8,184.4,30943.21875,35130.7734375,,1766538.21875,4651654.03125,1687808.1328125
AO090005001311,9.1,71.8,16.5,11.2,41.6,11.9,63973.00390625,619902.109375,114144.7265625,103254.94921875,465048.203125,95170.08984375
AO090026000804,105.7,102.7,94.8,37.7,61.9,38.9,1502483.93164063,1796041.80078125,1331371.81835938,701340.4140625,1402625.71484375,633139.55859375
AO090003001496,2.5,43.6,1.7,11.9,33.4,14.7,28091.576171875,613360.796875,18656.451171875,178481.546875,608629.4375,192697.96875
AO090103000006,,,,272.7,686.9,424.7,,,,1552907.96875,4758749.5625,2111770.34375
AO090038000315,1.5,11.7,12.0,14.1,20.5,9.2,47197.3984375,447494.921875,369040.0703125,575386.3984375,1017565.125,329953.1875
AO090023000108,,,,346.7,383.9,425.2,,,,3175522.21875,4278396.4375,3400843.3125
AO090023000366,,8.7,,229.9,270.4,291.3,,65700.90625,,1857220.375,2658231.0,2054992.4375
AO090005001302,,,,455.6,415.2,508.0,,,,4000290.9375,4435314.625,3894433.625
AO090005001404,3.1,27.2,4.3,148.6,253.6,160.3,14990.2841796875,163263.216796875,20552.41796875,949018.046875,1970544.6875,893946.421875
